acyl_chlorides,amines,HTE_lnk_corrected,test splits,acyl_BV_Hs_avg_x_has_num_Hs,acyl_global_E,acyl_B1_main_atom_1,acyl_has_pKa_features,acyl_pka_aHs_x_has_pKa_features,acyl_has_acidic_H_for_pka_lowest,acyl_has_acidic_H_for_pka_aHs,acyl_pka_lowest_x_has_pKa_features,acyl_class_aromatic,acyl_LUMO,acyl_pka_lowest,acyl_FCS_1,amine_Charges_secondary_avg,amine_fukui_E_secondary_avg,amine_class_1_aromatic,amine_global_N,amine_hardness,amine_pka_basic,amine_SV,amine_class_2_aliphatic,amine_EA,amine_FREQS_1,amine_DISP_mol,amine_fukui_E_secondary_1,amine_B1_main_atom_1,amine_BV_secondary_avg,amine_class_1_aliphatic,amine_L_avg,amine_global_E,amine_BV_secondary_1,rxn_lowest_barrier_dGTS_path_B,rxn_barriers_dGTS_from_RXTS_B,rxn_barriers_dGTS_from_INT1_B,rxn_barriers_dGTS_from_PRDS_B,rxn_rxn_dG_B,rxn_imag_freq,rxn_used_constrained,rxn_ts_status_valid,int_pka_basic_minus_pka_lowest
1,1,2.717622709509551,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0968516950332794,0.0442512883650628,False,-8.795469718216948,12.882455725332624,10.21,329.91185206855926,False,-4.086986007115675,1037.9631617561265,13.730042687853082,0.0442512883650628,2.8562265676093315,97.89876746871695,True,4.640591367591052,0.0001333359910576,97.89876746871695,16.6,18.07,16.6,28.74,-10.67,-134.12,0.0,1.0,-39.79
1,3,1.2921142450701282,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0761664042158895,0.041708732791108,True,-8.287711601758286,5.149997730280013,3.67,363.7310769962555,False,3.137713871478273,1170.4980551306112,15.944916996027166,0.041708732791108,1.7,91.73629724451575,False,7.40508816287323,0.5413271481988106,91.73629724451575,20.22,20.22,21.04,27.85,-7.63,-18.09,0.0,1.0,-46.33
1,4,2.628538444878437,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0680188908686448,0.0366734841503434,True,-7.394513040595944,4.657954935147616,4.78,420.425615781276,False,2.7365581054483283,1156.9473449530064,16.18987479126678,0.0366734841503434,1.7123817313928569,91.66099210939312,False,8.886276673540625,0.3673730727017051,91.66099210939312,14.27,16.18,14.27,24.93,-8.75,-71.49,1.0,0.0,-45.22
1,5,1.2522770746338756,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0784081349069482,0.0539791292876311,True,-8.016605409056405,5.378753537573834,4.31,345.2442306052937,False,2.6378518714825705,1176.983375617841,15.95870435015532,0.0539791292876311,1.7,91.69236924902756,False,6.793231017357804,0.4124570809441211,91.69236924902756,15.4,17.17,15.4,24.5,-7.33,-232.62,1.0,1.0,-45.69
1,6,1.1354476691294466,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0567376377456192,0.0412110663175252,True,-7.236137001186222,4.613941833527308,4.06,482.83209940777135,False,2.6221951676589144,1157.6689048202588,16.70122528159207,0.0412110663175252,2.02818318128298,110.11911745167129,False,7.827748035144151,0.3319718320280629,110.11911745167129,15.3,15.3,17.81,23.49,-8.19,-289.15,1.0,0.0,-45.94
1,7,1.817767004871492,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.074422530133453,0.0551444863426681,True,-7.281712458503272,4.569293199181267,4.58,696.3420112568325,False,2.712419259322004,1168.0230470319484,17.00624435521646,0.0551444863426681,1.832025883223352,91.7070119141903,False,11.540928060853242,0.3518645094661429,91.7070119141903,12.02,12.02,16.23,18.52,-6.5,-140.23,1.0,1.0,-45.42
1,8,0.7229792382615611,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.061708309200001,0.0389677897337741,True,-7.396388567751172,4.68966661421177,2.99,607.6239078291326,False,2.7067219535394016,1154.4146371175902,17.62604125695821,0.0389677897337741,2.499034211771547,120.16816937192333,False,6.781693208747949,0.3622873490547857,120.16816937192333,16.79,16.79,24.09,25.79,-9.0,-9.55,0.0,1.0,-47.01
1,9,1.1491433527697965,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0488693413650097,0.0186652315770857,False,-7.440181700293301,10.312988811391754,10.05,621.3422035272821,True,-2.872807111098454,1042.721022047211,16.88489624793472,0.0243740376973692,2.0683516680792806,113.80436250173454,False,5.842966722214873,0.000640149225257,110.1609536378505,19.39,20.32,19.39,23.82,-3.5,-177.92,0.0,1.0,-39.95
1,10,1.8264746417233315,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0744394162548267,0.0552747784327695,True,-7.313692529571538,4.603419459176648,4.59,645.3500831736563,False,2.71027307039489,1167.5814879293316,16.840881326498767,0.0552747784327695,1.7,91.6526248721573,False,13.126168945771909,0.3546689808599605,91.6526248721573,16.67,16.67,16.79,24.68,-8.01,-34.47,0.0,1.0,-45.41
1,11,0.7238039389075566,TRAIN,0.0,1.6382660074793458,1.75,0,0.0,0,0,0.0,True,-0.3166862377287412,50.0,1.7693493665158644,0.0762461939202572,0.0293733056348732,True,-7.536106039110615,3.816064499361568,3.17,444.6743448281079,False,3.720041539749048,1184.5833814721243,17.513565270468206,0.0293733056348732,1.7202244085666147,106.54107762869224,False,6.790932669876167,0.5929589878052297,106.54107762869224,17.96,19.48,17.96,26.71,-7.23,-35.47,0.0,1.0,-46.83
